dataset,model,few_shot_setting,experiment_config,f1,precision,recall
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold/sim),49.8,50.8,49.3
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold/sim),54.0,55.0,53.4
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold/sim),56.5,57.6,56.0
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold+inter+intra/sim),48.5,52.7,46.3
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold+inter+intra/sim),53.0,56.2,51.3
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold+inter+intra/sim),55.0,58.2,53.3
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold+intra/rand),40.9,44.9,38.9
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold+intra/rand),43.4,47.3,41.5
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold+intra/rand),45.9,49.1,44.2
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold+intra/sim),48.1,51.9,46.1
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold+intra/sim),52.8,56.0,51.1
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold+intra/sim),55.1,58.0,53.5
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold/sim),44.4,48.2,42.5
DBpedia-WebNLG,Gemini-1.5-Flash,3shot,(R_gold/sim),48.5,51.5,47.0
DBpedia-WebNLG,Gemini-1.5-Flash,5shot,(R_gold/sim),49.8,52.4,48.4
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold+inter+intra/sim),41.5,47.5,38.4
DBpedia-WebNLG,Gemini-1.5-Flash,3shot,(R_gold+inter+intra/sim),45.5,50.7,42.8
DBpedia-WebNLG,Gemini-1.5-Flash,5shot,(R_gold+inter+intra/sim),47.2,52.1,44.6
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold+intra/rand),36.3,42.7,33.1
